uid,type,SBU（部门）,PRD号码,产品名称,PRD号码,巴斯夫产品名称,产品别名,默认商店,线上购买链接,品牌,产品描述,产品分类,化学成分,外观,行业,特性和优点,应用行业,注册国家,"固含量
（%）",稀释剂[浓度],含水量,官能度，计算值,"分子量 
(Mw)","粘度, 25?C
(mPa.s)","粘度, 23?C
(Pa.s)",%NCO,K值,氯质量分数(%),酸值 （mg KOH/g）,"密度, 25?C (g/cm3)",玻璃化温度(?C),胺值 （mg KOH/g）,"pH 
(25oC)",最低成膜温度 (℃),冻融稳定性(-5 °C),羟值（mg KOH/g solids）,羟基含量（%基于固含）,软化点 (oC),VOC,粒径大小 nm,细度,色度 （Gardner),溶剂,包装,产地,样品包装,推荐配方,样品ART
uid,type,field_product_sbu,field_product_prd,title,PRD No.,field_product_name,field_other_names,stores,field_buy_link,field_product_brand,body,field_product_type,field_generic_chemical_name,field_physical_form,field_suitable_application,field_benefits,field_recommended_application,field_country_registration_group,field_solid_content,field_thinner,field_free_formaldehyde_content,field_calculated_value,field_molecular_weight,field_viscosity,field_functional_group,field__nco,field_molar_mass,field_boiling_point,field_acid_value,field_density,field_glass_transition_temperatu,field__oh,field_ph,field_minimum_film_forming_tempe,field_freeze_thaw_stability,field_hydroxyl_value,field_qiangzhidangliang,field_softening_point,field_total_voc,field_average_particle,field_melting_point,field_hazen_chromafield_ph,field_solvent,field_product_package,field_product_origin,variations,field_formulation,field_product_art
1,default,EDR,30282606,Joncryl? 95,30282606,Joncryl? 95,Joncryl? 95,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,An acrylic colloidal for industrial waterborne wood stain applications,82,Acrylic colloidal,Translucent liquid,2,ultra-fine particle size  |  minimal grain raising  |  good color development  |  ,wood stain applicationsinterior waterborne wood coatings for furniture or millwork applications,CN,30,,,,,100,,,,,,,,,8,20,Stable,,,,,,,,,200kg  |  213.189kg  |  ,"US,NL","54051825,0,11",,54051825
1,default,EDR,30284453,Joncryl? 1915,30284453,Joncryl? 1915,Joncryl? 1915,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a rheology-controlled block resistant acrylic emulsion for hardboard and other flatstock coatings,82,Rheology-controlled block resistant acrylic emulsion,semi-translucent emulsion,2,very good block resistance  |  excellent adhesion  |  low VOC  |  pigment dispersing capability,ideally suited for high PVC primers used over hardboard and composite wood substrates,CN,44,,,,,700,,,,,,,,,8.5,< 5,Unstable,,,,,,,,,217.724kg,US,"54057337,0,11",,54057337
1,default,EDR,30282764,Joncryl? 1980,30282764,Joncryl? 1980,Joncryl? 1980,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a self-crosslinking acrylic emulsion for industrial coating applications,82,acrylic emulsion,translucent emulsion,2,excellent chemical resistance  |  cold check resistance  |  low foaming  |  good scratch and mar resistance,"wood coatings that require resistance to various chemicals#specialty hardboard, and plastics#interior/exterior concrete applications",CN,40,,,,,50~250,,,,,,,,,8.5,45,Unstable,,,,,,,,,200kg,US,"54056754,0,11",,54056754
1,default,EDR,30743514,Joncryl? 8111 ap,30743514,Joncryl? 8111 ap,Joncryl? 8111 ap,1,https://detail.1688.com/offer/614551193884.html,42,"the first 1K self-crosslinking pure acrylic dispersion for wood coating with local development and supply, and it is recommended to primer and even topcoat application",82,Pure acrylic dispersion,semi-translucent milky liquid,2,"Excellent sandability for primer application  |  Good dry film clarity and wood grain enhancement for clear coat  |  Fast drying, good block resistance, minimize fiber raising  |  Good hardness & chemical resistance for better protection  |  Low coalescent demand, low odor film, APEO free, more eco-friendly  |  ","suitable for primer or even topcoat, both clear coat or pigmented",CN,41,,,,,40,,,,,,,,,8,33,Stable,,,,,,,,,200kg,CN,"50669040,0,11#50669061,0,12",,50669040 | 50669061
1,default,EDR,30718448,Joncryl? 8130 ap,30718448,Joncryl? 8130 ap,Joncryl? 8130 ap,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,"a new developed self-crosslinking acrylic dispersion with higher performance especially in superior chemical resistance and dry film clarity, which is recommended for general furniture application.",82,self-crosslinking acrylic dispersion,semi-translucent milky liquid,2,"Excellent chemical resistance especially in stain resistance  |  Superior dry film clarity and wood grain enhancement for clear coat  |  Good scratch resistance, hardness, block resistance for high durability  |  APEO free, eco-friendly, low odor dispersion  |  Local supply, performance in use  |  ",recommended for general water-based wood coatings,CN,41,,,,,40,,,,,,,,,8,30,Stable,,,,,,,,,200kg,CN,"50612553,0,11#50612554,0,12",,50612553 | 50612554
1,default,EDR,30282552,Joncryl? 8224,30282552,Joncryl? 8224,Joncryl? 8224,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a rheology controlled acrylic workhorse emulsion for use in industry applied coatings for furniture and flatstock or metal primers,82,acrylic dispersion,Semi-translucent milky liquid,"2,6","fast drying and good hardness development  |  excellent early block resistance and stackability for on-site application  |  good grain enhancement and appearance  |  very good adhesion to various substrates including melamine, UV primer, metal etc.  |  good compatibility with WB UV emulsion  |  ",application in clear primers and topcoats for furniture and flatstock,CN,43.5 ~ 46.5,,,,,30 ~ 150,,,,,,,,,7.4 ~ 8.1,10,Stable,,,,,,,,,200kg  |  1000kg  |  ,NL,"51466328,0,11",,51466328
1,default,EDR,30577187,Joncryl? 8227,30577187,Joncryl? 8227,Joncryl? 8227,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,a rheology controlled acrylic emulsion for use in water-based anti-bleeding primers on tropical hardwoods and engineered wood sorts,82,acrylic dispersion,semi-translucent milky liquid,2,"excellent tanning blocking, anti-bleeding  |  suitable to pine, red maple, especially for tropical hardwood  |  no cracking with pigmented primer  |  good pigment/extender loading",used as a fast drying industrial primer for the furniture & flooring industry to coat tropical hardwoods and engineered wood sorts,CN,40,,,,,160,,,,,,,,,9,<0,Stable,,,,,,,,,200kg  |  1000kg  |  ,NL,"50315492,0,11",,50315492
1,default,EDR,30282562,Joncryl? 8330,30282562,Joncryl? 8330,Joncryl? 8330,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,"a self-crosslinking acrylic dispersion for wood coatings application, offers balanced performance",82,self-crosslinking acrylic dispersion,semi-translucent milky liquid,"2,6","excellent water resistance & whitening resistance for better protection  |  fast hardness development and high hardness for higher quality  |  very good block resistance for line application  |  good chemical resistance (coffee, green tea etc.)  |  broad adhesion on wood, metal, plastics etc.  |  ",recommended for both clear and pigmented in mid-tier wood coatings,CN,38,,,,,50,,,,,,,,,8.1,33,Unstable,,,,,,,,,200kg,NL,"51466911,0,11",,51466911
1,default,EDR,30715672,Joncryl? 8330 ap,30715672,Joncryl? 8330 ap,Joncryl? 8330 ap,1,https://detail.1688.com/offer/615053323453.html,42,"a self-crosslinking acrylic dispersion for wood coatings application, offers balanced performance",82,self-crosslinking acrylic dispersion,semi-translucent milky liquid,"2,6","excellent water resistance & whitening resistance for better protection  |  fast hardness development and high hardness for higher quality  |  very good block resistance for line application  |  good chemical resistance (coffee, green tea etc.)  |  broad adhesion on wood, metal, plastics etc.  |  ",recommended for both clear and pigmented in mid-tier wood coatings,CN,38,,,,,50,,,,,,,,,8.1,33,Unstable,,,,,,,,,200kg,CN,"50607103,0,11#50625200,0,12",,50607103 | 50625200
